session,timestamp,epsilon,avg_reward,violations,best_step,qtable_states_visited
1,2026-06-02 18:47:12,0.8972,49.2292,0,49.2292,7
2,2026-06-02 20:51:18,0.8943,-34.7196,186,0.0,35
3,2026-06-02 21:05:32,0.8915,33.9443,50,0.0,35
4,2026-06-02 21:16:56,0.8887,42.5825,13,0.0,36
5,2026-06-02 21:35:57,0.8858,-31.8786,184,0.0,43
6,2026-06-02 21:50:52,0.883,-9.4705,133,0.0,45
7,2026-06-02 22:06:12,0.8802,8.4236,113,0.0,46
8,2026-06-02 23:03:24,0.8773,-46.0933,236,0.0,47
9,2026-06-02 23:22:13,0.8745,-49.9449,276,0.0,47
10,2026-06-03 00:16:09,0.8717,-72.4798,249,0.0,48
11,2026-06-03 00:33:18,0.8688,-24.2508,189,0.0,48
12,2026-06-03 08:39:51,0.866,-47.3782,236,0.0,48
13,2026-06-03 09:49:09,0.8632,-83.3662,134,0.0,49
14,2026-06-03 10:07:37,0.8603,-53.3292,262,0.0,49
15,2026-06-03 10:46:05,0.8575,-79.5266,291,0.0,50
16,2026-06-03 11:19:34,0.8547,-61.5796,169,0.0,51
17,2026-06-03 11:32:37,0.8518,19.6277,69,0.0,51
18,2026-06-03 12:28:20,0.849,-86.8596,235,0.0,51
19,2026-06-03 12:42:44,0.8462,-17.7084,143,0.0,51
20,2026-06-03 13:21:04,0.8433,-85.222,244,0.0,51
21,2026-06-03 14:14:39,0.8405,-95.7997,221,0.0,51
22,2026-06-03 14:34:25,0.8377,-85.757,301,0.0,51
23,2026-06-03 14:48:12,0.8348,6.3391,117,0.0,51
24,2026-06-03 15:08:48,0.832,-90.2443,305,0.0,51
25,2026-06-03 15:20:30,0.8292,-17.4235,135,0.0,51
26,2026-06-03 15:36:50,0.8263,13.5309,59,0.0,51
27,2026-06-03 15:52:11,0.8235,-20.0768,155,0.0,51
28,2026-06-03 16:05:57,0.8207,-22.7978,157,0.0,51
29,2026-06-03 17:19:10,0.8178,-101.9627,214,0.0,51
30,2026-06-03 17:37:08,0.815,-59.2391,227,0.0,51
31,2026-06-03 17:55:12,0.8122,-29.1022,187,0.0,51
32,2026-06-03 18:09:25,0.8093,-2.5485,121,0.0,51
33,2026-06-03 18:21:09,0.8065,23.4357,52,0.0,51
34,2026-06-03 18:41:04,0.8037,-39.4874,198,0.0,51
35,2026-06-03 18:50:12,0.8008,58.3128,0,0.0,51
36,2026-06-03 19:05:00,0.798,-4.0272,136,0.0,51
37,2026-06-03 19:18:47,0.7952,-3.054,101,0.0,51
38,2026-06-03 19:35:56,0.7923,-59.7126,245,0.0,51
39,2026-06-03 19:55:33,0.7895,-65.0098,258,0.0,51
40,2026-06-03 20:48:51,0.7867,-79.3687,203,0.0,51
41,2026-06-03 21:05:49,0.7838,-47.3775,207,0.0,51
42,2026-06-03 21:19:44,0.781,-3.8162,120,0.0,51
43,2026-06-03 21:36:36,0.7782,-36.2845,225,0.0,51
44,2026-06-03 21:50:10,0.7753,11.3732,101,0.0,51
45,2026-06-03 22:25:12,0.7725,-55.4028,167,0.0,51
46,2026-06-03 22:40:14,0.7697,-38.7854,181,0.0,51
47,2026-06-03 22:55:48,0.7668,-30.7805,196,0.0,51
48,2026-06-03 23:13:25,0.764,-9.8804,148,0.0,51
49,2026-06-03 23:31:24,0.7612,-33.9469,180,0.0,51
50,2026-06-03 23:45:06,0.7583,9.038,74,0.0,51
51,2026-06-03 23:56:44,0.7555,24.3342,71,0.0,51
52,2026-06-04 00:30:51,0.7527,-54.5776,110,0.0,51
53,2026-06-04 00:46:08,0.7498,-10.8455,141,0.0,51
54,2026-06-04 01:05:41,0.747,-58.6023,273,0.0,51
55,2026-06-04 01:16:04,0.7442,15.8591,81,0.0,51
56,2026-06-04 01:28:17,0.7413,30.9878,20,0.0,51
57,2026-06-04 01:43:51,0.7385,-13.0586,122,0.0,51
58,2026-06-04 01:56:05,0.7357,13.6642,59,0.0,51
59,2026-06-04 02:29:41,0.7328,-28.312,118,0.0,51
60,2026-06-04 02:40:48,0.73,34.4059,18,0.0,51
61,2026-06-04 02:55:54,0.7272,-5.399,145,0.0,51
62,2026-06-04 03:08:46,0.7243,18.3461,91,0.0,51
63,2026-06-04 03:24:58,0.7215,9.6405,86,0.0,51
64,2026-06-04 03:40:11,0.7187,5.4751,76,0.0,51
65,2026-06-04 03:51:30,0.7158,10.3531,83,0.0,51
66,2026-06-04 04:07:04,0.713,-7.2407,153,0.0,51
67,2026-06-04 04:44:54,0.7102,-31.657,180,0.0,51
68,2026-06-04 04:59:11,0.7073,-8.7209,146,0.0,51
69,2026-06-04 05:14:04,0.7045,-19.3927,155,0.0,51
70,2026-06-04 05:32:38,0.7017,-23.5674,170,0.0,51
71,2026-06-04 05:41:42,0.6988,54.7731,0,0.0,51
72,2026-06-04 05:55:01,0.696,44.4268,10,0.0,51
73,2026-06-04 06:11:13,0.6932,-16.0248,154,0.0,51
74,2026-06-04 06:26:13,0.6903,-3.8254,118,0.0,51
75,2026-06-04 06:39:17,0.6875,8.5903,87,0.0,51
76,2026-06-04 06:57:37,0.6847,-32.393,212,0.0,51
77,2026-06-04 07:16:35,0.6818,-41.1776,213,0.0,51
78,2026-06-04 07:32:06,0.679,-45.9865,223,0.0,51
79,2026-06-04 07:47:00,0.6762,-3.1681,134,0.0,51
80,2026-06-04 08:04:43,0.6733,-41.8907,217,0.0,51
81,2026-06-04 08:36:02,0.6705,-34.3243,104,0.0,51
82,2026-06-04 08:55:22,0.6677,-61.6743,267,0.0,51
83,2026-06-04 09:05:09,0.6648,30.5183,39,0.0,51
84,2026-06-04 09:20:19,0.662,14.196,81,0.0,51
85,2026-06-04 09:32:20,0.6592,19.3133,74,0.0,51
86,2026-06-04 09:45:39,0.6563,7.3831,96,0.0,51
87,2026-06-04 10:04:21,0.6535,-38.7367,200,0.0,51
88,2026-06-04 10:16:51,0.6507,20.4214,48,0.0,51
89,2026-06-04 10:33:35,0.6478,-18.9592,155,0.0,51
90,2026-06-04 10:53:32,0.645,-41.9611,226,0.0,51
91,2026-06-04 11:08:05,0.6422,-5.9178,138,0.0,51
92,2026-06-04 11:18:53,0.6393,58.1672,0,0.0,51
93,2026-06-04 11:31:40,0.6365,14.6589,85,0.0,51
94,2026-06-04 11:45:04,0.6337,-0.6645,132,0.0,51
95,2026-06-04 12:20:54,0.6308,-68.4867,203,0.0,51
96,2026-06-04 12:33:30,0.628,18.1436,72,0.0,51
97,2026-06-04 12:50:21,0.6252,11.7335,91,0.0,51
98,2026-06-04 13:06:22,0.6223,-1.0144,124,0.0,51
99,2026-06-04 13:20:53,0.6195,-30.0451,199,0.0,51
100,2026-06-04 13:35:08,0.6167,18.0367,79,0.0,51
101,2026-06-04 13:53:03,0.6138,-20.1963,145,0.0,51
102,2026-06-04 14:07:47,0.611,-7.6117,112,0.0,51
103,2026-06-04 14:58:18,0.6082,-78.7883,132,0.0,51
104,2026-06-04 15:12:04,0.6053,11.5156,93,0.0,51
105,2026-06-04 15:42:07,0.6025,-14.1433,23,0.0,51
106,2026-06-04 15:59:26,0.5997,-34.6111,214,0.0,51
107,2026-06-04 16:19:00,0.5968,-51.4344,243,0.0,51
108,2026-06-04 16:36:33,0.594,-64.8976,327,0.0,51
109,2026-06-04 17:08:24,0.5912,-0.8756,0,0.0,51
110,2026-06-04 17:22:27,0.5883,6.9586,93,0.0,51
111,2026-06-04 17:41:49,0.5855,-57.3913,230,0.0,51
112,2026-06-04 17:59:33,0.5827,-82.1409,295,0.0,51
113,2026-06-04 18:14:32,0.5798,-45.314,213,0.0,51
114,2026-06-04 18:28:54,0.577,0.6652,117,0.0,51
115,2026-06-04 19:00:56,0.5742,-18.7943,69,0.0,51
116,2026-06-04 19:14:20,0.5713,3.3455,69,0.0,51
117,2026-06-04 19:33:20,0.5685,-25.386,176,0.0,51
118,2026-06-04 19:46:15,0.5657,11.7755,88,0.0,51
119,2026-06-04 19:59:11,0.5628,-3.1073,115,0.0,51
120,2026-06-04 20:15:19,0.56,21.833,37,0.0,51
121,2026-06-04 20:30:53,0.5572,-6.8599,119,0.0,51
122,2026-06-04 20:46:04,0.5543,21.8332,62,0.0,51
123,2026-06-04 21:02:01,0.5515,2.9042,99,0.0,51
124,2026-06-04 21:16:56,0.5487,3.5359,85,0.0,51
125,2026-06-04 21:50:57,0.5458,-33.9953,112,0.0,51
126,2026-06-04 22:06:12,0.543,-6.5046,134,0.0,51
127,2026-06-04 22:19:51,0.5402,1.0796,100,0.0,51
128,2026-06-04 22:36:29,0.5373,13.6764,77,0.0,51
129,2026-06-04 22:48:38,0.5345,20.0054,42,0.0,51
130,2026-06-04 23:42:28,0.5317,-59.0604,137,0.0,51
131,2026-06-05 00:36:31,0.5288,-24.6067,189,0.0,51
132,2026-06-05 00:54:37,0.526,-37.8013,233,0.0,51
133,2026-06-05 01:08:52,0.5232,10.2004,101,0.0,51
134,2026-06-05 01:26:25,0.5203,-26.6449,188,0.0,51
135,2026-06-05 01:40:50,0.5175,1.2741,145,0.0,51
